Protein Chain Length,Run Duration (milliseconds)
1,0
2,0
3,0
4,0
5,16
6,0
7,16
8,16
9,16
10,31
11,31
12,31
13,47
14,62
15,47
16,47
17,62
18,62
19,78
20,78
21,94
22,109
23,109
24,141
25,141
26,156
27,156
28,172
29,188
30,219
31,219
32,234
33,250
34,266
35,266
36,281
37,312
38,344
39,375
40,375
41,406
42,438
43,469
44,453
45,484
46,500
47,562
48,547
49,594
50,609
51,625
52,641
53,656
54,703
55,781
56,766
57,828
58,812
59,906
60,1219
61,891
62,906
63,953
64,1078
65,1094
66,1094
67,1141
68,1234
69,1125
70,1375
71,1375
72,1469
73,1312
74,1344
75,1406
76,1391
77,1438
78,1453
79,1484
80,1547
81,1578
82,1891
83,1688
84,1703
85,1797
86,1750
87,1828
88,1906
89,1953
90,1938
91,2000
92,2031
93,2078
94,2125
95,2141
96,2234
97,2266
98,2297
99,2359
100,2359
101,2469
102,2609
103,3031
104,2719
105,2859
106,2859
107,2828
108,3047
109,2844
110,2984
111,2984
112,3047
113,3109
114,3312
115,3188
116,3484
117,3359
118,3672
119,3484
120,3547
121,3547
122,3688
123,3766
124,4297
125,4156
126,3812
127,3969
128,3969
129,4562
130,4094
131,4234
132,4297
133,4297
134,4359
135,4469
136,4516
137,4547
138,5047
139,4859
140,4859
141,5828
142,4953
143,4953
144,5125
145,5078
146,5234
147,5266
148,5312
149,5406
150,5484
151,6078
152,5750
153,5891
154,5766
155,5812
156,5969
157,6188
158,6297
159,6484
160,6422
161,6469
162,7062
163,6844
164,6578
165,6906
166,6719
167,7016
168,7047
169,7203
170,7047
171,7234
172,7828
173,7500
174,7578
175,7625
176,7656
177,7703
178,7828
179,7859
180,8312
181,8812
182,8172
183,8281
184,8281
185,8844
186,9016
187,8953
188,8734
189,9453
190,9359
191,9156
192,9266
193,9203
194,9312
195,9266
196,9734
197,10250
198,10281
199,9688
200,9750
